win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 4370, 8, 35, 35, 4807200, 3401925, 0.44, 75, 500, 23, 214, 300, 5, 48, 38
0, 5796, 3, 46, 36, 5995950, 4588800, 0.44, 75, 500, 23, 268, 300, 5, 26, 28
1, 1852, 3, 15, 9, 1277925, 1288875, 0.44, 75, 500, 16, 39, 300, 5, 63, 38
0, 7800, 2, 50, 61, 7296675, 6196800, 0.44, 75, 500, 23, 366, 300, 5, 35, 30
0, 6921, 4, 40, 42, 7020000, 5651250, 0.44, 75, 500, 23, 328, 300, 5, 31, 21
0, 6377, 3, 65, 39, 6444450, 5133900, 0.44, 75, 500, 23, 300, 300, 5, 22, 11
0, 2933, 3, 20, 17, 3133500, 1674825, 0.44, 75, 500, 23, 141, 300, 5, 25, 24
0, 4785, 2, 31, 24, 3105300, 2192925, 0.44, 75, 500, 16, 113, 300, 5, 61, 40
0, 4990, 5, 37, 25, 3348450, 2399250, 0.44, 75, 500, 16, 119, 300, 5, 49, 31
0, 5043, 13, 70, 21, 3898725, 2986050, 0.44, 75, 500, 16, 119, 300, 5, 12, 2
0, 6821, 10, 67, 41, 4941900, 3990000, 0.44, 75, 500, 16, 166, 300, 5, 65, 45
0, 5542, 2, 25, 43, 5509875, 4207350, 0.44, 75, 500, 23, 256, 300, 5, 80, 82
0, 5042, 7, 41, 33, 5308500, 4005750, 0.44, 75, 500, 23, 241, 300, 5, 63, 36
0, 5358, 9, 49, 29, 3830850, 2914275, 0.44, 75, 500, 16, 126, 300, 5, 22, 6
0, 5709, 9, 39, 39, 5753625, 4368525, 0.44, 75, 500, 23, 273, 300, 5, 46, 34
0, 5725, 9, 63, 39, 4075125, 3165075, 0.44, 75, 500, 16, 130, 300, 5, 56, 43
0, 4679, 3, 30, 24, 3162225, 2253975, 0.44, 75, 500, 16, 112, 300, 5, 50, 34
0, 2947, 2, 23, 11, 2335275, 1279725, 0.44, 75, 500, 16, 71, 300, 5, 28, 24
0, 3659, 7, 40, 25, 2737200, 1819950, 0.44, 75, 500, 16, 87, 300, 5, 13, 12
0, 5597, 8, 51, 29, 4009650, 3085350, 0.44, 75, 500, 16, 131, 300, 5, 99, 70
0, 4493, 6, 31, 29, 3313200, 2335425, 0.44, 75, 500, 16, 109, 300, 5, 50, 48
0, 7485, 4, 54, 44, 7707375, 6279900, 0.44, 75, 500, 23, 350, 300, 5, 44, 32
0, 7800, 3, 55, 47, 7306950, 6275625, 0.44, 75, 500, 23, 351, 300, 5, 50, 43
1, 1034, 6, 9, 10, 757725, 846900, 0.44, 75, 500, 16, 20, 300, 5, 40, 33
0, 5871, 2, 56, 33, 4505625, 3528375, 0.44, 75, 500, 16, 141, 300, 5, 39, 32
0, 6115, 5, 48, 29, 4338450, 3247425, 0.44, 75, 500, 16, 146, 300, 5, 26, 13
0, 4776, 4, 41, 20, 3224025, 2309700, 0.44, 75, 500, 16, 107, 300, 5, 55, 36
0, 5361, 6, 45, 26, 3821925, 2910900, 0.44, 75, 500, 16, 123, 300, 5, 35, 24
0, 7136, 8, 61, 49, 4806300, 3861750, 0.44, 75, 500, 16, 169, 300, 5, 64, 49
0, 5663, 4, 40, 39, 4126650, 3066300, 0.44, 75, 500, 16, 135, 300, 5, 63, 55
0, 4904, 4, 26, 43, 3529200, 2601525, 0.44, 75, 500, 16, 114, 300, 5, 41, 47
0, 7800, 5, 49, 51, 7351800, 6328050, 0.44, 75, 500, 23, 364, 300, 5, 74, 59
0, 7800, 6, 59, 45, 5189475, 4450050, 0.44, 75, 500, 16, 191, 300, 5, 32, 23
0, 7275, 2, 68, 30, 4744725, 3831000, 0.44, 75, 500, 16, 167, 300, 5, 16, 8
0, 4760, 7, 41, 32, 3569325, 2601300, 0.44, 75, 500, 16, 115, 300, 5, 27, 30
0, 7800, 12, 70, 56, 7797150, 6936825, 0.44, 75, 500, 23, 362, 300, 5, 64, 45
1, 1093, 3, 7, 12, 896025, 930675, 0.44, 75, 500, 16, 29, 300, 5, 49, 53
0, 3901, 5, 25, 27, 3151800, 2226750, 0.44, 75, 500, 16, 97, 300, 5, 29, 33
1, 742, 2, 4, 4, 718800, 745425, 0.44, 75, 500, 16, 19, 300, 5, 6, 7
0, 7031, 7, 52, 47, 7379850, 5813250, 0.44, 75, 500, 23, 344, 300, 5, 44, 45
0, 7800, 8, 66, 55, 7383825, 6477525, 0.44, 75, 500, 23, 362, 300, 5, 56, 46
0, 6368, 1, 40, 35, 4392750, 3459825, 0.44, 75, 500, 16, 153, 300, 5, 30, 25
1, 861, 7, 11, 9, 768525, 915300, 0.44, 75, 500, 16, 20, 300, 5, 36, 43
0, 6291, 3, 55, 38, 4537200, 3525750, 0.44, 75, 500, 16, 155, 300, 5, 51, 38
0, 6390, 1, 35, 37, 4366950, 3426075, 0.44, 75, 500, 16, 158, 300, 5, 51, 45
0, 6492, 4, 53, 50, 4574475, 3667725, 0.44, 75, 500, 16, 158, 300, 5, 33, 32
