win,ticks_elapsed,atk_start_h,pub_h,priv_h,pub_cw,priv_cw,atk_q,block_target,daa2_n_blocks,n_chains,ms_elapsed,atk_start_t,doublespend_after_n_confs,honest_hr_target_chain,attacker_hr_target_chain
0, 1418, 5, 12, 9, 1070700, 668325, 0.44, 75, 500, 16, 31, 300, 2, 61, 47
0, 1129, 6, 10, 11, 1392300, 941775, 0.44, 75, 500, 23, 47, 300, 2, 10, 7
0, 2386, 5, 20, 19, 2511975, 1871550, 0.44, 75, 500, 23, 91, 300, 2, 37, 35
0, 1043, 5, 12, 9, 1421100, 882150, 0.44, 75, 500, 23, 47, 300, 2, 69, 60
0, 863, 3, 4, 5, 901950, 766125, 0.44, 75, 500, 16, 18, 300, 2, 14, 13
0, 421, 2, 3, 3, 440100, 236700, 0.44, 75, 500, 16, 8, 300, 2, 70, 58
0, 558, 3, 4, 4, 523575, 255750, 0.44, 75, 500, 16, 11, 300, 2, 37, 26
0, 433, 5, 6, 6, 492300, 223725, 0.44, 75, 500, 16, 9, 300, 2, 34, 32
0, 1665, 17, 19, 20, 1614000, 1386075, 0.44, 75, 500, 16, 36, 300, 2, 75, 49
0, 813, 3, 6, 6, 798000, 481125, 0.44, 75, 500, 16, 18, 300, 2, 19, 9
0, 430, 1, 2, 3, 505875, 418275, 0.44, 75, 500, 16, 10, 300, 2, 64, 63
0, 1735, 11, 18, 17, 2215125, 1843725, 0.44, 75, 500, 23, 76, 300, 2, 31, 16
0, 1501, 6, 14, 11, 1830375, 1375950, 0.44, 75, 500, 23, 70, 300, 2, 10, 7
0, 899, 4, 8, 6, 859875, 622575, 0.44, 75, 500, 16, 21, 300, 2, 31, 31
0, 774, 5, 8, 6, 690225, 444525, 0.44, 75, 500, 16, 16, 300, 2, 51, 41
0, 1409, 7, 12, 18, 1240275, 1015500, 0.44, 75, 500, 16, 32, 300, 2, 29, 35
0, 641, 6, 7, 7, 492525, 319575, 0.44, 75, 500, 16, 12, 300, 2, 20, 13
0, 1520, 6, 10, 10, 1982550, 1578525, 0.44, 75, 500, 23, 75, 300, 2, 40, 37
1, 743, 8, 11, 11, 754650, 787725, 0.44, 75, 500, 16, 17, 300, 2, 37, 29
0, 431, 0, 1, 2, 385800, 356925, 0.44, 75, 500, 16, 8, 300, 2, 10, 12
0, 1813, 8, 14, 13, 2534175, 1997400, 0.44, 75, 500, 23, 82, 300, 2, 15, 12
0, 1136, 6, 10, 9, 1000650, 703500, 0.44, 75, 500, 16, 26, 300, 2, 14, 8
0, 346, 2, 3, 3, 425775, 392775, 0.44, 75, 500, 16, 6, 300, 2, 16, 14
0, 2750, 7, 18, 22, 2900475, 2379225, 0.44, 75, 500, 23, 122, 300, 2, 64, 56
0, 608, 4, 5, 7, 564900, 459750, 0.44, 75, 500, 16, 12, 300, 2, 25, 16
0, 1876, 5, 12, 14, 1543650, 1216425, 0.44, 75, 500, 16, 40, 300, 2, 18, 14
0, 631, 5, 9, 6, 510975, 296925, 0.44, 75, 500, 16, 15, 300, 2, 8, 8
0, 3712, 6, 22, 35, 3814500, 3190275, 0.44, 75, 500, 23, 166, 300, 2, 27, 33
0, 2060, 6, 24, 20, 2293575, 1758525, 0.44, 75, 500, 23, 88, 300, 2, 58, 43
