,kls=results&ty=por&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=por&q=0.44&ds=10&daa=20&scale=1,kls=results&ty=trad&q=0.4&ds=10&daa=20&scale=1,kls=results&ty=trad&q=0.44&ds=10&daa=20&scale=1,kls=analytical&ty=trad&q=0.4&ds=10&daa=0&scale=1,kls=analytical&ty=trad&q=0.44&ds=10&daa=0&scale=1
12.8,,,,,0.0012397742564942416,0.0542183701245913
12.9,,,,,0.0011861768483153456,0.05328454372535829
13.0,0.006333333333333333,0.05533333333333333,0.0,0.011222222222222222,0.0011349227686801022,0.052367731787898664
13.1,,,,,0.001085908098062749,0.05146759736482143
13.2,,,,,0.0010390336100097874,0.050583811031968406
13.3,,,,,0.0009942045541626587,0.049716050691284486
13.4,,,,,0.0009513304496232555,0.048864001379926636
13.5,,,,,0.0009103248881473514,0.04802735508537348
13.6,,,,,0.0008711053466823326,0.04720581056630613
13.7,,,,,0.000833593008787048,0.04639907317904113
13.8,,,,,0.000797712594496458,0.045606854709309363
13.9,,,,,0.0007633921982186376,0.0448288732091785
14.0,,,,,0.0007305631342682251,0.04406485283893202
14.1,,,,,0.0006991597896665036,0.043314523713720354
14.2,,,,,0.0006691194838517323,0.042577621754811834
14.3,,,,,0.0006403823349652171,0.04185388854527594
14.4,,,,,0.0006128911323941555,0.04114307118994098
14.5,,,,,0.0005865912152678288,0.040444922179472265
14.6,,,,,0.0005614303566211509,0.03975919925842575
14.7,,,,,0.0005373586529514585,0.03908566529713753
14.8,,,,,0.0005143284189099706,0.03842408816731435
14.9,,,,,0.0004922940868811176,0.037774240621198274
15.0,0.004666666666666667,0.042777777777777776,0.00011111111111111112,0.0067777777777777775,0.0004712121112164791,0.03713590017418078
15.1,,,,,0.0004510408769005103,0.03650884899074891
15.2,,,,,0.0004317406124371148,0.035892873773651135
15.3,,,,,0.0004132733067557792,0.035287765656172865
15.4,,,,,0.0003956026299470894,0.03469332009741832
15.5,,,,,0.00037869385764488506,0.03410933678049777
15.6,,,,,0.00036251379888452284,0.03353561951352535
15.7,,,,,0.00034703072727071405,0.032971976133332914
15.8,,,,,0.00033221431530094936,0.03241821841181369
15.9,,,,,0.0003180355716944083,0.0318741619648083
16.0,,,,,0.00030446678158646545,0.03133962616345154
