,kls=results&ty=por&q=0.4&ds=1&daa=100&scale=1,kls=results&ty=por&q=0.4&ds=1.25&daa=100&scale=1.25,kls=results&ty=por&q=0.4&ds=1.5&daa=100&scale=1.5,kls=results&ty=por&q=0.4&ds=1.75&daa=100&scale=1.75,kls=results&ty=por&q=0.4&ds=1.9&daa=100&scale=1.9,kls=results&ty=por&q=0.4&ds=2&daa=100&scale=2.0,kls=results&ty=por&q=0.4&ds=2.25&daa=100&scale=2.25,kls=results&ty=por&q=0.4&ds=2.5&daa=100&scale=2.5,kls=results&ty=por&q=0.4&ds=2.75&daa=100&scale=2.75,kls=results&ty=por&q=0.4&ds=2.9&daa=100&scale=2.9,kls=results&ty=por&q=0.4&ds=3&daa=100&scale=3.0,kls=results&ty=trad&q=0.4&ds=1&daa=100&scale=1,kls=results&ty=trad&q=0.4&ds=3&daa=100&scale=3.0,kls=analytical&ty=trad&q=0.4&ds=1&daa=0&scale=1
90.0,,,0.008,,,,,,,,0.022,,0.0,0.0067901930769309615
91.0,,,,,,,,,,,,,,0.006488794224454919
92.0,,,,,,,,,,,,,,0.006201041122222861
93.0,,,,,,,,,,,,,,0.005926299464613538
94.0,,,,,,,,,,,,,,0.005663965494767109
94.5,,,,,,,0.018,,,,,,,
95.0,,,,,,,,,,,,,,0.005413464461432871
96.0,,,,,,,,,,,,,,0.005174249158863664
97.0,,,,,,,,,,,,,,0.004945798544910063
98.0,,,,,,,,,,,,,,0.0047276164327795245
99.0,,,,,,,,,,,,,,0.004519230252214013
100.0,,,,,,,,,,,,,,0.00432018987611027
101.0,,,,,,,,,,,,,,0.004130066508855945
102.0,,,,,,,,,,,,,,0.003948451632888705
103.0,,,,,,,,,,,,,,0.003774956010199948
104.0,,,,,,,,,,,,,,0.003609208735708913
105.0,,,,0.011,,,,0.011444444444444445,,,,,,0.00345085633961828
106.0,,,,,,,,,,,,,,0.003299561936039086
107.0,,,,,,,,,,,,,,0.0031550044153363377
108.0,,,,,,,,,,,,,,0.003016877677797458
109.0,,,,,,,,,,,,,,0.0028848899063714795
110.0,,,,,,,,,,,,,,0.0027587628763555694
111.0,,,,,,,,,,,,,,0.0026382313000349322
112.0,,,,,,,,,,,,,,0.0025230422043944767
113.0,,,,,,,,,,,,,,0.002412954340132334
114.0,,,,,0.009,,,,,,,,,0.0023077376203065603
115.0,,,,,,,,,,,,,,0.002207172587041506
115.5,,,,,,,,,0.012,,,,,
116.0,,,,,,,,,,,,,,0.0021110499048111464
117.0,,,,,,,,,,,,,,0.00201916987889994
118.0,,,,,,,,,,,,,,0.0019313419977212698
119.0,,,,,,,,,,,,,,0.0018473844977470177
120.0,,,,,,0.008,,,,,,,,0.00176712394987244
121.0,,,,,,,,,,,,,,0.0016903948661043389
121.8,,,,,,,,,,0.014,,,,
122.0,,,,,,,,,,,,,,0.0016170393255234838
126.0,,,,,,,,,,,0.015,,0.0009090909090909091,
135.0,,,,,,,0.008,,,,,,,
150.0,,,,,,,,0.006222222222222222,,,,,,
165.0,,,,,,,,,0.006,,,,,
174.0,,,,,,,,,,0.003,,,,
180.0,,,,,,,,,,,0.001,,0.0,
