k, N1, "N1 w/o PoRs", T1
4520000.0,131071.0,513636.36363636365,479554492088.3334
4530000.0,131071.0,514772.7272727273,480865202088.3334
4540000.0,131071.0,515909.0909090909,482175912088.3334
4550000.0,131071.0,517045.45454545453,483486622088.3334
4560000.0,131071.0,518181.8181818182,484797332088.3334
4570000.0,131071.0,519318.1818181818,486108042088.3334
4580000.0,131071.0,520454.54545454547,487418752088.3334
4590000.0,131071.0,521590.9090909091,488729462088.3334
4600000.0,131071.0,522727.2727272727,490040172088.3334
4610000.0,131071.0,523863.63636363635,491350882088.3334
4620000.0,131071.0,525000.0,492661592088.3334
4630000.0,131071.0,526136.3636363636,493972302088.3334
4640000.0,131071.0,527272.7272727273,495283012088.3334
4650000.0,131071.0,528409.0909090909,496593722088.3334
4660000.0,131071.0,529545.4545454546,497904432088.3334
4670000.0,131071.0,530681.8181818182,499215142088.3334
4680000.0,131071.0,531818.1818181818,500525852088.3334
4690000.0,131071.0,532954.5454545454,501836562088.3334
4700000.0,131071.0,534090.9090909091,503147272088.3334
4710000.0,131071.0,535227.2727272727,504457982088.3334
4720000.0,131071.0,536363.6363636364,505768692088.3334
4730000.0,131071.0,537500.0,507079402088.3334
4740000.0,131071.0,538636.3636363636,508390112088.3334
4750000.0,131071.0,539772.7272727273,509700822088.3334
4760000.0,131071.0,540909.0909090909,511011532088.3334
4770000.0,131071.0,542045.4545454546,512322242088.3334
4780000.0,131071.0,543181.8181818182,513632952088.3334
4790000.0,131071.0,544318.1818181818,514943662088.3334
4800000.0,131071.0,545454.5454545454,516254372088.3334
4810000.0,131071.0,546590.9090909091,517565082088.3334
4820000.0,131071.0,547727.2727272727,518875792088.3334
4830000.0,131071.0,548863.6363636364,520186502088.3334
4840000.0,131071.0,550000.0,521497212088.3334
4850000.0,131071.0,551136.3636363636,522807922088.3334
4860000.0,131071.0,552272.7272727273,524118632088.3334
4870000.0,131071.0,553409.0909090909,525429342088.3334
4880000.0,131071.0,554545.4545454546,526740052088.3334
4890000.0,131071.0,555681.8181818182,528050762088.3334
4900000.0,131071.0,556818.1818181818,529361472088.3334
4910000.0,131071.0,557954.5454545454,530672182088.3334
4920000.0,131071.0,559090.9090909091,531982892088.3334
4930000.0,131071.0,560227.2727272727,533293602088.3334
4940000.0,131071.0,561363.6363636364,534604312088.3334
4950000.0,131071.0,562500.0,535915022088.3334
4960000.0,131071.0,563636.3636363636,537225732088.3334
4970000.0,131071.0,564772.7272727273,538536442088.3334
4980000.0,131071.0,565909.0909090909,539847152088.3334
4990000.0,131071.0,567045.4545454546,541157862088.3334
5000000.0,131071.0,568181.8181818182,542468572088.3334
5010000.0,131071.0,569318.1818181818,543779282088.3334
5020000.0,131071.0,570454.5454545454,545089992088.3334
5030000.0,131071.0,571590.9090909091,546400702088.3334
5040000.0,131071.0,572727.2727272727,547711412088.3334
5050000.0,131071.0,573863.6363636364,549022122088.3334
5060000.0,131071.0,575000.0,550332832088.3333
5070000.0,131071.0,576136.3636363636,551643542088.3333
5080000.0,131071.0,577272.7272727273,552954252088.3333
5090000.0,131071.0,578409.0909090909,554264962088.3333
5100000.0,131071.0,579545.4545454546,555575672088.3333
5110000.0,131071.0,580681.8181818182,556886382088.3333
5120000.0,131071.0,581818.1818181818,558197092088.3333
5130000.0,131071.0,582954.5454545454,559507802088.3333
5140000.0,131071.0,584090.9090909091,560818512088.3333
5150000.0,131071.0,585227.2727272727,562129222088.3333
5160000.0,131071.0,586363.6363636364,563439932088.3333
5170000.0,131071.0,587500.0,564750642088.3333
5180000.0,131071.0,588636.3636363636,566061352088.3333
5190000.0,131071.0,589772.7272727273,567372062088.3333
5200000.0,131071.0,590909.0909090909,568682772088.3333
5210000.0,131071.0,592045.4545454546,569993482088.3333
5220000.0,131071.0,593181.8181818182,571304192088.3333
5230000.0,131071.0,594318.1818181818,572614902088.3333
5240000.0,131071.0,595454.5454545454,573925612088.3333
5250000.0,131071.0,596590.9090909091,575236322088.3333
5260000.0,131071.0,597727.2727272727,576547032088.3333
5270000.0,131071.0,598863.6363636364,577857742088.3333
5280000.0,131071.0,600000.0,579168452088.3333
5290000.0,131071.0,601136.3636363636,580479162088.3333
5300000.0,131071.0,602272.7272727273,581789872088.3333
5310000.0,131071.0,603409.0909090909,583100582088.3333
5320000.0,131071.0,604545.4545454546,584411292088.3333
5330000.0,131071.0,605681.8181818182,585722002088.3333
5340000.0,131071.0,606818.1818181818,587032712088.3333
5350000.0,131071.0,607954.5454545454,588343422088.3333
5360000.0,131071.0,609090.9090909091,589654132088.3333
5370000.0,131071.0,610227.2727272727,590964842088.3333
5380000.0,131071.0,611363.6363636364,592275552088.3333
5390000.0,131071.0,612500.0,593586262088.3333
5400000.0,131071.0,613636.3636363636,594896972088.3333
5410000.0,131071.0,614772.7272727273,596207682088.3333
5420000.0,131071.0,615909.0909090909,597518392088.3333
5430000.0,131071.0,617045.4545454546,598829102088.3333
5440000.0,131071.0,618181.8181818182,600139812088.3333
5450000.0,131071.0,619318.1818181818,601450522088.3333
5460000.0,131071.0,620454.5454545454,602761232088.3333
5470000.0,131071.0,621590.9090909091,604071942088.3333
5480000.0,131071.0,622727.2727272727,605382652088.3333
5490000.0,131071.0,623863.6363636364,606693362088.3333
5500000.0,131071.0,625000.0,608004072088.3333
5510000.0,131071.0,626136.3636363636,609314782088.3333
5520000.0,131071.0,627272.7272727273,610625492088.3333
5530000.0,131071.0,628409.0909090909,611936202088.3333
5540000.0,131071.0,629545.4545454546,613246912088.3333
5550000.0,131071.0,630681.8181818182,614557622088.3333
5560000.0,131071.0,631818.1818181818,615868332088.3333
5570000.0,131071.0,632954.5454545454,617179042088.3333
5580000.0,131071.0,634090.9090909091,618489752088.3333
5590000.0,131071.0,635227.2727272727,619800462088.3333
5600000.0,131071.0,636363.6363636364,621111172088.3333
5610000.0,131071.0,637500.0,622421882088.3333
5620000.0,131071.0,638636.3636363636,623732592088.3333
5630000.0,131071.0,639772.7272727273,625043302088.3333
5640000.0,131071.0,640909.0909090909,626354012088.3333
5650000.0,131071.0,642045.4545454546,627664722088.3333
5660000.0,131071.0,643181.8181818182,628975432088.3333
5670000.0,131071.0,644318.1818181818,630286142088.3333
5680000.0,131071.0,645454.5454545454,631596852088.3333
5690000.0,131071.0,646590.9090909091,632907562088.3333
5700000.0,131071.0,647727.2727272727,634218272088.3333
5710000.0,131071.0,648863.6363636364,635528982088.3333
5720000.0,131071.0,650000.0,636839692088.3333
5730000.0,131071.0,651136.3636363636,638150402088.3333
5740000.0,131071.0,652272.7272727273,639461112088.3333
