$k$ (B/s),PoRs TPS2,PoRTs TPS2,HOPoRs TPS2,HOPoRTs TPS2,OP TPS2,OPT TPS2,HO TPS2,HOT TPS2
7900,8867185.714285715,12524152.963636365,12414060,17796857.14545455,15721906.887755103,25466890.495867766,41270005.58035715,105050923.29545455
8000,9186250.666666668,12974815.03030303,12860742.857142858,18393770.181818184,16326530.6122449,26446280.991735533,42857142.85714286,109090909.09090908
8100,9512868.342857143,13436118.49090909,13317061.500000002,18999974.12727273,16946460.459183674,27450464.876033057,44484458.70535715,113233167.61363636
8200,9847126.97142857,13908253.07878788,13780769.66666667,19615468.981818184,17581887.755102042,28479752.0661157,46152455.35714286,117478977.27272727
8300,10189114.780952381,14391281.466666665,14251777.833333336,20240254.745454546,18233003.82653061,29534452.479338836,47861635.04464286,121829616.47727272
8400,10538920.000000004,14885367.127272727,14730086.000000002,20874331.41818182,18900000,30614876.033057846,49612500,126286363.63636363
8500,10896645.833333332,15390619.787878787,15215694.16666667,21517699,19583067.602040816,31721332.644628096,51405552.45535715,130850497.15909089
8600,11262368.752380952,15907154.703030303,15708602.333333336,22170357.490909092,20282397.959183678,32854132.231404956,53241294.64285715,135523295.45454547
8700,11636174.185714288,16435130.98181818,16208810.500000002,23627320.799999997,20998182.397959188,34013584.7107438,55120228.79464286,140306036.9318182
8800,12018150.361904765,16974619.200000003,16716318.66666667,24403082.666666668,21730612.244897958,35199999.99999999,57042857.14285715,145199999.99999997
8900,12408385.509523809,17525812.575757574,17231126.833333336,25195651.878787875,22479878.826530613,36413688.01652892,59009681.91964286,150206463.06818178
9000,12806967.857142858,18088772.727272727,17753235.000000004,26005165.09090909,23246173.46938776,37654958.67768595,61021205.35714286,155326704.54545453
9100,13213985.633333333,18663662.096969694,18282643.166666668,26831825.406060603,24029687.5,38924121.90082644,63077929.6875,160562002.8409091
9200,13629527.06666667,19250593.527272727,18819351.333333336,27675807.999999996,24830612.244897965,40221487.60330579,65180357.14285715,165913636.36363634
9300,14053691.457142858,19849677.072727267,19363359.500000004,28537276.58181818,25649139.03061225,41547365.70247933,67328989.95535715,171382883.52272725
9400,14486564.704761906,20461079.127272733,19914667.666666668,29416446.593939394,26485459.18367347,42902066.11570248,69524330.35714285,176971022.72727272
9500,14928226.714285716,21084863.666666668,20473275.833333336,30313452.121212117,27339764.03061225,44285898.76033058,71766880.58035715,182679332.38636363
9600,15378765.714285715,21721227.05454545,21039184.000000004,31228516.07272727,28212244.897959188,45699173.55371901,74057142.85714285,188509090.90909088
